geography,year,mode,total_crashes,fatal_crashes,injury_or_fatal_crashes,population,crashes_per_100k,fatal_injury_per_100k,pct_fatal,pct_fatal_or_injury
New Haven,2018,Pedestrians,133,3,122,134023,99.23669817867084,91.02915171276572,2.2556390977443606,91.72932330827066
New Haven,2018,Bicyclists,89,0,69,134023,66.4065123150504,51.483700558859304,0,77.52808988764045
New Haven,2019,Cars,7270,9,1858,134023,5424.442073375466,1386.3292121501534,0.12379642365887208,25.55708390646492
New Haven,2019,Pedestrians,203,8,182,134023,151.46653932533968,135.797586981339,3.9408866995073892,89.65517241379311
New Haven,2019,Bicyclists,85,0,72,134023,63.421949963812175,53.722122322287966,0,84.70588235294117
New Haven,2020,Cars,5546,6,1471,134023,4138.095699991793,1097.5728046678555,0.10818608005769925,26.523620627479268
New Haven,2020,Pedestrians,133,9,122,134023,99.23669817867084,91.02915171276572,6.7669172932330826,91.72932330827066
New Haven,2020,Bicyclists,61,2,51,134023,45.51457585638286,38.05316997828731,3.278688524590164,83.60655737704919
New Haven,2021,Cars,6600,12,1621,134023,4924.527879543063,1209.4938928392887,0.18181818181818182,24.560606060606062
New Haven,2021,Pedestrians,139,10,128,134023,103.71354170552816,95.50599523962305,7.1942446043165464,92.08633093525181
New Haven,2021,Bicyclists,42,1,31,134023,31.337904688001313,23.130358222096206,2.380952380952381,73.80952380952381
New Haven,2022,Cars,6737,13,1573,134023,5026.749140072972,1173.6791446244301,0.19296422740092029,23.348671515511356
New Haven,2022,Pedestrians,167,4,151,134023,124.6054781641957,112.66722875924282,2.3952095808383236,90.41916167664671
New Haven,2022,Bicyclists,43,1,38,134023,32.08404527581087,28.35334233676309,2.3255813953488373,88.37209302325581
New Haven,2023,Cars,6617,8,1477,134023,4937.212269535826,1102.049648194713,0.12090071029167296,22.32129363760012
New Haven,2023,Pedestrians,158,7,142,134023,117.8902128739097,105.95196346895682,4.430379746835443,89.87341772151899
New Haven,2023,Bicyclists,44,0,37,134023,32.83018586362042,27.607201748953536,0,84.0909090909091
New Haven,2024,Cars,6406,9,1413,134023,4779.77660550801,1054.2966505749014,0.1404932875429285,22.057446144239776
New Haven,2024,Pedestrians,149,4,135,134023,111.17494758362372,100.72897935428993,2.684563758389262,90.60402684563759
New Haven,2024,Bicyclists,64,1,43,134023,47.752997619811524,32.08404527581087,1.5625,67.1875
New Haven,2025,Cars,6604,5,1261,134023,4927.512441894301,940.883281227849,0.07571168988491823,19.094488188976378
New Haven,2025,Pedestrians,135,6,117,134023,100.72897935428993,87.29844877371795,4.444444444444445,86.66666666666667
New Haven,2025,Bicyclists,58,0,51,134023,43.276154092954194,38.05316997828731,0,87.93103448275862
