geography,year,mode,total_crashes,fatal_crashes,injury_or_fatal_crashes,dataset,population,crashes_per_100k,fatal_injury_per_100k,pct_fatal,pct_fatal_or_injury
Connecticut (statewide),2016,Bicyclists,566,7,457,MMUCC,3605944,15.696305877185003,12.673519056313685,1.2367491166077738,80.74204946996466
Connecticut (statewide),2017,Cars,113546,207,25761,MMUCC,3605944,3148.8564436940787,714.4037733253762,0.18230496891127823,22.68772127595864
Connecticut (statewide),2017,Pedestrians,1555,54,1360,MMUCC,3605944,43.1232431784853,37.7155052879357,3.4726688102893895,87.45980707395499
Connecticut (statewide),2017,Bicyclists,547,3,447,MMUCC,3605944,15.169398082721196,12.396199164490628,0.5484460694698354,81.71846435100548
Connecticut (statewide),2018,Cars,112226,217,25719,MMUCC,3605944,3112.2502179734347,713.2390297797193,0.19335982749095576,22.917149323686132
Connecticut (statewide),2018,Pedestrians,1495,63,1330,MMUCC,3605944,41.45932382754696,36.88354561246653,4.214046822742475,88.96321070234113
Connecticut (statewide),2018,Bicyclists,435,1,352,MMUCC,3605944,12.063415294302962,9.761660192171592,0.22988505747126436,80.91954022988506
Connecticut (statewide),2019,Cars,110529,181,25556,MMUCC,3605944,3065.189032331062,708.7187155430034,0.16375792778365858,23.121533715133584
Connecticut (statewide),2019,Pedestrians,1583,54,1396,MMUCC,3605944,43.89973887558986,38.713856898498705,3.41124447252053,88.18698673404927
Connecticut (statewide),2019,Bicyclists,499,3,413,MMUCC,3605944,13.838262601970525,11.453311532292238,0.6012024048096193,82.76553106212425
Connecticut (statewide),2020,Cars,82218,218,20183,MMUCC,3605944,2280.068686590807,559.7147376664751,0.26514875088180206,24.548152472694543
Connecticut (statewide),2020,Pedestrians,1142,61,1013,MMUCC,3605944,31.669931646193064,28.092505041675633,5.341506129597198,88.70402802101576
Connecticut (statewide),2020,Bicyclists,431,6,355,MMUCC,3605944,11.95248733757374,9.844856159718509,1.3921113689095126,82.36658932714617
Connecticut (statewide),2021,Cars,99607,238,23692,MMUCC,3605944,2762.3002464819197,657.0262877071857,0.23893903038943046,23.785476924312547
Connecticut (statewide),2021,Pedestrians,1182,53,1078,MMUCC,3605944,32.77921121348529,29.8950843385255,4.483925549915398,91.20135363790186
Connecticut (statewide),2021,Bicyclists,370,3,299,MMUCC,3605944,10.260835997453094,8.291864765509393,0.8108108108108109,80.8108108108108
Connecticut (statewide),2022,Cars,101100,261,23770,MMUCC,3605944,2803.704106331102,659.1893828634055,0.258160237388724,23.51137487636004
Connecticut (statewide),2022,Pedestrians,1372,73,1253,MMUCC,3605944,38.04828915812337,34.74818244542899,5.320699708454811,91.3265306122449
Connecticut (statewide),2022,Bicyclists,330,4,278,MMUCC,3605944,9.151556430160868,7.709492992680973,1.2121212121212122,84.24242424242424
Connecticut (statewide),2023,Cars,98712,232,23120,MMUCC,3605944,2737.480116163756,641.1635898949069,0.23502714968798122,23.421671124078124
Connecticut (statewide),2023,Pedestrians,1301,54,1145,MMUCC,3605944,36.07931792617966,31.75312761373998,4.15065334358186,88.00922367409684
Connecticut (statewide),2023,Bicyclists,424,4,352,MMUCC,3605944,11.7583634132976,9.761660192171592,0.9433962264150944,83.01886792452831
Connecticut (statewide),2024,Cars,102266,226,22900,MMUCC,3605944,2836.039605717671,635.0625522747996,0.22099231416110926,22.392584045528327
Connecticut (statewide),2024,Pedestrians,1518,61,1356,MMUCC,3605944,42.09715957873999,37.60457733120648,4.0184453227931485,89.32806324110672
Connecticut (statewide),2024,Bicyclists,476,4,362,MMUCC,3605944,13.200426850777495,10.038980083994648,0.8403361344537815,76.05042016806722
Connecticut (statewide),2025,Cars,101598,172,22092,MMUCC,3605944,2817.5146369438903,612.6551050154966,0.16929467115494398,21.744522529971064
Connecticut (statewide),2025,Pedestrians,1375,55,1232,MMUCC,3605944,38.13148512567028,34.16581067260057,4,89.60000000000001
Connecticut (statewide),2025,Bicyclists,461,5,351,MMUCC,3605944,12.784447013042909,9.733928202989286,1.0845986984815619,76.13882863340564
New Haven,2010,Cars,6700,10,1659,ConnDOT,134023,4999.141938324019,1237.8472351760518,0.1492537313432836,24.761194029850746
New Haven,2010,Pedestrians,125,3,111,ConnDOT,134023,93.26757347619439,82.82160524686061,2.4,88.8
New Haven,2010,Bicyclists,81,0,64,ConnDOT,134023,60.437387612573964,47.752997619811524,0,79.01234567901234
New Haven,2011,Cars,3902,4,1356,ConnDOT,134023,2911.4405736328836,1011.7666370697567,0.10251153254741158,34.75140953357253
New Haven,2011,Pedestrians,82,1,80,ConnDOT,134023,61.18352820038351,59.69124702476441,1.2195121951219512,97.5609756097561
New Haven,2011,Bicyclists,60,1,52,ConnDOT,134023,44.768435268573306,38.799310566096864,1.6666666666666667,86.66666666666667
New Haven,2012,Cars,5389,5,1356,ConnDOT,134023,4020.951627705692,1011.7666370697567,0.09278159213212099,25.16236778623121
New Haven,2012,Pedestrians,130,0,119,ConnDOT,134023,96.99827641524216,88.79072994933705,0,91.53846153846153
New Haven,2012,Bicyclists,77,0,55,ConnDOT,134023,57.45282526133573,41.037732329525525,0,71.42857142857143
New Haven,2013,Cars,5255,7,1266,ConnDOT,134023,3920.968788939212,944.6139841668968,0.13320647002854424,24.091341579448144
New Haven,2013,Pedestrians,103,1,94,ConnDOT,134023,76.85248054438418,70.13721525409818,0.9708737864077669,91.2621359223301
New Haven,2013,Bicyclists,82,0,63,ConnDOT,134023,61.18352820038351,47.00685703200197,0,76.82926829268293
New Haven,2014,Cars,6437,8,1502,ConnDOT,134023,4802.906963730106,1120.7031628899517,0.12428149759204597,23.333851172906634
New Haven,2014,Pedestrians,140,3,123,ConnDOT,134023,104.4596822933377,91.77529230057527,2.142857142857143,87.85714285714286
New Haven,2014,Bicyclists,84,0,51,ConnDOT,134023,62.675809376002626,38.05316997828731,0,60.71428571428571
New Haven,2015,Cars,7956,7,1792,MMUCC,134023,5936.29451661282,1337.0839333547226,0.08798391151332328,22.52388134741076
New Haven,2015,Pedestrians,135,0,116,MMUCC,134023,100.72897935428993,86.55230818590839,0,85.92592592592592
New Haven,2015,Bicyclists,89,0,69,MMUCC,134023,66.4065123150504,51.483700558859304,0,77.52808988764045
New Haven,2016,Cars,7532,12,1730,MMUCC,134023,5619.930907381568,1290.8232169105304,0.15932023366967604,22.96866702071163
New Haven,2016,Pedestrians,176,3,160,MMUCC,134023,131.3207434544817,119.38249404952882,1.7045454545454544,90.9090909090909
New Haven,2016,Bicyclists,81,0,62,MMUCC,134023,60.437387612573964,46.26071644419241,0,76.5432098765432
New Haven,2017,Cars,7558,8,1754,MMUCC,134023,5639.330562664617,1308.7305910179596,0.10584810796507012,23.207197671341625
New Haven,2017,Pedestrians,177,2,152,MMUCC,134023,132.06688404229126,113.41336934705237,1.1299435028248588,85.87570621468926
New Haven,2017,Bicyclists,99,1,79,MMUCC,134023,73.86791819314595,58.94510643695485,1.0101010101010102,79.7979797979798
New Haven,2018,Cars,7153,16,1820,MMUCC,134023,5337.143624601747,1357.9758698133903,0.22368237103313296,25.443869705018873
New Haven,2018,Pedestrians,133,3,122,MMUCC,134023,99.23669817867084,91.02915171276572,2.2556390977443606,91.72932330827066
New Haven,2018,Bicyclists,89,0,69,MMUCC,134023,66.4065123150504,51.483700558859304,0,77.52808988764045
New Haven,2019,Cars,7270,9,1858,MMUCC,134023,5424.442073375466,1386.3292121501534,0.12379642365887208,25.55708390646492
New Haven,2019,Pedestrians,203,8,182,MMUCC,134023,151.46653932533968,135.797586981339,3.9408866995073892,89.65517241379311
New Haven,2019,Bicyclists,85,0,72,MMUCC,134023,63.421949963812175,53.722122322287966,0,84.70588235294117
New Haven,2020,Cars,5546,6,1471,MMUCC,134023,4138.095699991793,1097.5728046678555,0.10818608005769925,26.523620627479268
New Haven,2020,Pedestrians,133,9,122,MMUCC,134023,99.23669817867084,91.02915171276572,6.7669172932330826,91.72932330827066
New Haven,2020,Bicyclists,61,2,51,MMUCC,134023,45.51457585638286,38.05316997828731,3.278688524590164,83.60655737704919
New Haven,2021,Cars,6600,12,1621,MMUCC,134023,4924.527879543063,1209.4938928392887,0.18181818181818182,24.560606060606062
New Haven,2021,Pedestrians,139,10,128,MMUCC,134023,103.71354170552816,95.50599523962305,7.1942446043165464,92.08633093525181
New Haven,2021,Bicyclists,42,1,31,MMUCC,134023,31.337904688001313,23.130358222096206,2.380952380952381,73.80952380952381
New Haven,2022,Cars,6737,13,1573,MMUCC,134023,5026.749140072972,1173.6791446244301,0.19296422740092029,23.348671515511356
New Haven,2022,Pedestrians,167,4,151,MMUCC,134023,124.6054781641957,112.66722875924282,2.3952095808383236,90.41916167664671
New Haven,2022,Bicyclists,43,1,38,MMUCC,134023,32.08404527581087,28.35334233676309,2.3255813953488373,88.37209302325581
New Haven,2023,Cars,6617,8,1477,MMUCC,134023,4937.212269535826,1102.049648194713,0.12090071029167296,22.32129363760012
New Haven,2023,Pedestrians,158,7,142,MMUCC,134023,117.8902128739097,105.95196346895682,4.430379746835443,89.87341772151899
New Haven,2023,Bicyclists,44,0,37,MMUCC,134023,32.83018586362042,27.607201748953536,0,84.0909090909091
New Haven,2024,Cars,6406,9,1413,MMUCC,134023,4779.77660550801,1054.2966505749014,0.1404932875429285,22.057446144239776
New Haven,2024,Pedestrians,149,4,135,MMUCC,134023,111.17494758362372,100.72897935428993,2.684563758389262,90.60402684563759
New Haven,2024,Bicyclists,64,1,43,MMUCC,134023,47.752997619811524,32.08404527581087,1.5625,67.1875
New Haven,2025,Cars,6604,5,1261,MMUCC,134023,4927.512441894301,940.883281227849,0.07571168988491823,19.094488188976378
New Haven,2025,Pedestrians,135,6,117,MMUCC,134023,100.72897935428993,87.29844877371795,4.444444444444445,86.66666666666667
New Haven,2025,Bicyclists,58,0,51,MMUCC,134023,43.276154092954194,38.05316997828731,0,87.93103448275862
