geography,year,crash_type,total_crashes,fatal_crashes,injury_or_fatal_crashes,population,total_crashes_per_100k,fatal_crashes_per_100k,injury_or_fatal_crashes_per_100k
Bridgeport,2023,Vehicle/vehicle,5329,5,1475,148654,3584.8345823186733,3.3635152770863885,992.2370067404845
Bridgeport,2024,Cyclist/vehicle,30,0,23,148654,20.18109166251833,0,15.472170274597389
Bridgeport,2024,Pedestrian/vehicle,146,5,132,148654,98.21464609092254,3.3635152770863885,88.79680331508065
Bridgeport,2024,Vehicle/vehicle,5413,7,1471,148654,3641.341638973724,4.7089213879209435,989.5461945188155
Bridgeport,2025,Cyclist/vehicle,36,0,22,148654,24.217309995021996,0,14.799467219180109
Bridgeport,2025,Pedestrian/vehicle,129,2,118,148654,86.77869414882882,1.3454061108345554,79.37896053923878
Bridgeport,2025,Vehicle/vehicle,5374,7,1355,148654,3615.10621981245,4.7089213879209435,911.5126400904113
Connecticut (statewide),2015,Cyclist/vehicle,540,3,446,3605944,14.975274158445057,0.08319596754691698,12.368467175308325
Connecticut (statewide),2015,Pedestrian/vehicle,1367,47,1221,3605944,37.90962921221184,1.303403491568366,33.86075879159521
Connecticut (statewide),2015,Vehicle/vehicle,109262,203,24408,3605944,3030.052602037081,5.629593804008049,676.8823919617165
Connecticut (statewide),2016,Cyclist/vehicle,566,7,457,3605944,15.696305877185003,0.19412392427613961,12.673519056313685
Connecticut (statewide),2016,Pedestrian/vehicle,1598,67,1446,3605944,44.31571871332444,1.8580432752144793,40.100456357613986
Connecticut (statewide),2016,Vehicle/vehicle,113771,223,26143,3605944,3155.096141260097,6.1842335876541625,724.9973931930168
Connecticut (statewide),2017,Cyclist/vehicle,547,3,447,3605944,15.169398082721196,0.08319596754691698,12.396199164490628
Connecticut (statewide),2017,Pedestrian/vehicle,1555,54,1360,3605944,43.1232431784853,1.4975274158445055,37.7155052879357
Connecticut (statewide),2017,Vehicle/vehicle,113546,207,25761,3605944,3148.8564436940787,5.740521760737272,714.4037733253762
Connecticut (statewide),2018,Cyclist/vehicle,435,1,352,3605944,12.063415294302962,0.02773198918230566,9.761660192171592
Connecticut (statewide),2018,Pedestrian/vehicle,1495,63,1330,3605944,41.45932382754696,1.7471153184852566,36.88354561246653
Connecticut (statewide),2018,Vehicle/vehicle,112226,217,25719,3605944,3112.2502179734347,6.017841652560328,713.2390297797193
Connecticut (statewide),2019,Cyclist/vehicle,499,3,413,3605944,13.838262601970525,0.08319596754691698,11.453311532292238
Connecticut (statewide),2019,Pedestrian/vehicle,1583,54,1396,3605944,43.89973887558986,1.4975274158445055,38.713856898498705
Connecticut (statewide),2019,Vehicle/vehicle,110529,181,25556,3605944,3065.189032331062,5.019490041997324,708.7187155430034
Connecticut (statewide),2020,Cyclist/vehicle,431,6,355,3605944,11.95248733757374,0.16639193509383396,9.844856159718509
Connecticut (statewide),2020,Pedestrian/vehicle,1142,61,1013,3605944,31.669931646193064,1.6916513401206452,28.092505041675633
Connecticut (statewide),2020,Vehicle/vehicle,82218,218,20183,3605944,2280.068686590807,6.045573641742633,559.7147376664751
Connecticut (statewide),2021,Cyclist/vehicle,370,3,299,3605944,10.260835997453094,0.08319596754691698,8.291864765509393
Connecticut (statewide),2021,Pedestrian/vehicle,1182,53,1078,3605944,32.77921121348529,1.4697954266622,29.8950843385255
Connecticut (statewide),2021,Vehicle/vehicle,99607,238,23692,3605944,2762.3002464819197,6.6002134253887474,657.0262877071857
Connecticut (statewide),2022,Cyclist/vehicle,330,4,278,3605944,9.151556430160868,0.11092795672922263,7.709492992680973
Connecticut (statewide),2022,Pedestrian/vehicle,1372,73,1253,3605944,38.04828915812337,2.024435210308313,34.74818244542899
Connecticut (statewide),2022,Vehicle/vehicle,101100,261,23770,3605944,2803.704106331102,7.238049176581777,659.1893828634055
Connecticut (statewide),2023,Cyclist/vehicle,424,4,352,3605944,11.7583634132976,0.11092795672922263,9.761660192171592
Connecticut (statewide),2023,Pedestrian/vehicle,1301,54,1145,3605944,36.07931792617966,1.4975274158445055,31.75312761373998
Connecticut (statewide),2023,Vehicle/vehicle,98712,232,23120,3605944,2737.480116163756,6.433821490294913,641.1635898949069
Connecticut (statewide),2024,Cyclist/vehicle,476,4,362,3605944,13.200426850777495,0.11092795672922263,10.038980083994648
Connecticut (statewide),2024,Pedestrian/vehicle,1518,61,1356,3605944,42.09715957873999,1.6916513401206452,37.60457733120648
Connecticut (statewide),2024,Vehicle/vehicle,102266,226,22900,3605944,2836.039605717671,6.26742955520108,635.0625522747996
Connecticut (statewide),2025,Cyclist/vehicle,461,5,351,3605944,12.784447013042909,0.1386599459115283,9.733928202989286
