geography,year,crash_type,total_crashes,fatal_crashes,fatal_pct
New Haven,2024,Pedestrian/vehicle,149,4,2.684563758389262
New Haven,2024,Vehicle/vehicle,6406,9,0.1404932875429285
New Haven,2025,Cyclist/vehicle,58,0,0
New Haven,2025,Pedestrian/vehicle,135,6,4.444444444444445
New Haven,2025,Vehicle/vehicle,6604,5,0.07571168988491823
Stamford,2015,Cyclist/vehicle,22,0,0
Stamford,2015,Pedestrian/vehicle,102,2,1.9607843137254901
Stamford,2015,Vehicle/vehicle,5248,1,0.019054878048780487
Stamford,2016,Cyclist/vehicle,17,1,5.88235294117647
Stamford,2016,Pedestrian/vehicle,125,3,2.4
Stamford,2016,Vehicle/vehicle,5306,1,0.018846588767433094
Stamford,2017,Cyclist/vehicle,21,0,0
Stamford,2017,Pedestrian/vehicle,84,2,2.380952380952381
Stamford,2017,Vehicle/vehicle,4614,6,0.13003901170351106
Stamford,2018,Cyclist/vehicle,13,0,0
Stamford,2018,Pedestrian/vehicle,95,2,2.1052631578947367
Stamford,2018,Vehicle/vehicle,5061,4,0.07903576368306658
Stamford,2019,Cyclist/vehicle,10,0,0
Stamford,2019,Pedestrian/vehicle,105,1,0.9523809523809524
Stamford,2019,Vehicle/vehicle,4580,1,0.021834061135371178
Stamford,2020,Cyclist/vehicle,22,1,4.545454545454546
Stamford,2020,Pedestrian/vehicle,75,1,1.3333333333333335
Stamford,2020,Vehicle/vehicle,3331,1,0.03002101471029721
Stamford,2021,Cyclist/vehicle,22,0,0
Stamford,2021,Pedestrian/vehicle,97,0,0
Stamford,2021,Vehicle/vehicle,4008,3,0.07485029940119761
Stamford,2022,Cyclist/vehicle,15,0,0
Stamford,2022,Pedestrian/vehicle,106,4,3.7735849056603774
Stamford,2022,Vehicle/vehicle,4074,5,0.12272950417280314
Stamford,2023,Cyclist/vehicle,22,0,0
Stamford,2023,Pedestrian/vehicle,97,4,4.123711340206185
Stamford,2023,Vehicle/vehicle,3833,5,0.1304461257500652
Stamford,2024,Cyclist/vehicle,15,0,0
Stamford,2024,Pedestrian/vehicle,96,1,1.0416666666666665
Stamford,2024,Vehicle/vehicle,3854,5,0.12973533990659056
Stamford,2025,Cyclist/vehicle,20,0,0
Stamford,2025,Pedestrian/vehicle,102,1,0.9803921568627451
Stamford,2025,Vehicle/vehicle,3792,0,0
Waterbury,2015,Cyclist/vehicle,16,1,6.25
Waterbury,2015,Pedestrian/vehicle,98,3,3.061224489795918
Waterbury,2015,Vehicle/vehicle,5067,12,0.2368265245707519
Waterbury,2016,Cyclist/vehicle,21,0,0
Waterbury,2016,Pedestrian/vehicle,91,3,3.296703296703297
