geography,year,group,population,metric,count,rate_per_100k
Connecticut (statewide),2016,Pedestrian/Cyclist/Other,3605944,Fatal crashes,74,2.052167199490619
Connecticut (statewide),2017,Pedestrian/Cyclist/Other,3605944,Total crashes,2149,59.596044752774866
Connecticut (statewide),2017,Pedestrian/Cyclist/Other,3605944,Injury or fatal crashes,1817,50.38902434424938
Connecticut (statewide),2017,Pedestrian/Cyclist/Other,3605944,Fatal crashes,57,1.5807233833914227
Connecticut (statewide),2018,Pedestrian/Cyclist/Other,3605944,Total crashes,1957,54.271502829772174
Connecticut (statewide),2018,Pedestrian/Cyclist/Other,3605944,Injury or fatal crashes,1683,46.672937793820424
Connecticut (statewide),2018,Pedestrian/Cyclist/Other,3605944,Fatal crashes,64,1.7748473076675622
Connecticut (statewide),2019,Pedestrian/Cyclist/Other,3605944,Total crashes,2100,58.237177282841884
Connecticut (statewide),2019,Pedestrian/Cyclist/Other,3605944,Injury or fatal crashes,1812,50.25036439833785
Connecticut (statewide),2019,Pedestrian/Cyclist/Other,3605944,Fatal crashes,57,1.5807233833914227
Connecticut (statewide),2020,Pedestrian/Cyclist/Other,3605944,Total crashes,1590,44.093862799866
Connecticut (statewide),2020,Pedestrian/Cyclist/Other,3605944,Injury or fatal crashes,1370,37.99282517975875
Connecticut (statewide),2020,Pedestrian/Cyclist/Other,3605944,Fatal crashes,67,1.8580432752144793
Connecticut (statewide),2021,Pedestrian/Cyclist/Other,3605944,Total crashes,1566,43.428295059490665
Connecticut (statewide),2021,Pedestrian/Cyclist/Other,3605944,Injury or fatal crashes,1380,38.270145071581815
Connecticut (statewide),2021,Pedestrian/Cyclist/Other,3605944,Fatal crashes,56,1.552991394209117
Connecticut (statewide),2022,Pedestrian/Cyclist/Other,3605944,Total crashes,1714,47.5326294584719
Connecticut (statewide),2022,Pedestrian/Cyclist/Other,3605944,Injury or fatal crashes,1532,42.48540742729227
Connecticut (statewide),2022,Pedestrian/Cyclist/Other,3605944,Fatal crashes,77,2.1353631670375357
Connecticut (statewide),2023,Pedestrian/Cyclist/Other,3605944,Total crashes,1733,48.059537252935705
Connecticut (statewide),2023,Pedestrian/Cyclist/Other,3605944,Injury or fatal crashes,1498,41.542519795093874
Connecticut (statewide),2023,Pedestrian/Cyclist/Other,3605944,Fatal crashes,59,1.636187361756034
Connecticut (statewide),2024,Pedestrian/Cyclist/Other,3605944,Total crashes,1998,55.4085143862467
Connecticut (statewide),2024,Pedestrian/Cyclist/Other,3605944,Injury or fatal crashes,1718,47.64355741520112
Connecticut (statewide),2024,Pedestrian/Cyclist/Other,3605944,Fatal crashes,65,1.802579296849868
Connecticut (statewide),2025,Pedestrian/Cyclist/Other,3605944,Total crashes,1836,50.91593213871319
Connecticut (statewide),2025,Pedestrian/Cyclist/Other,3605944,Injury or fatal crashes,1583,43.89973887558986
Connecticut (statewide),2025,Pedestrian/Cyclist/Other,3605944,Fatal crashes,60,1.6639193509383396
Five largest cities,2015,Driver/Passenger,653604,Total crashes,30215,4622.829725644274
Five largest cities,2015,Driver/Passenger,653604,Injury or fatal crashes,6737,1030.7464458601844
Five largest cities,2015,Driver/Passenger,653604,Fatal crashes,26,3.9779438314331004
Five largest cities,2016,Driver/Passenger,653604,Total crashes,32336,4947.338143585413
Five largest cities,2016,Driver/Passenger,653604,Injury or fatal crashes,7567,1157.7346527867026
Five largest cities,2016,Driver/Passenger,653604,Fatal crashes,38,5.813917907479146
Five largest cities,2017,Driver/Passenger,653604,Total crashes,31288,4786.996407610724
Five largest cities,2017,Driver/Passenger,653604,Injury or fatal crashes,7201,1101.7374434672981
Five largest cities,2017,Driver/Passenger,653604,Fatal crashes,36,5.507922228138139
Five largest cities,2018,Driver/Passenger,653604,Total crashes,31098,4757.926818073329
Five largest cities,2018,Driver/Passenger,653604,Injury or fatal crashes,7423,1135.70296387415
Five largest cities,2018,Driver/Passenger,653604,Fatal crashes,45,6.884902785172674
Five largest cities,2019,Driver/Passenger,653604,Total crashes,30619,4684.640852871157
Five largest cities,2019,Driver/Passenger,653604,Injury or fatal crashes,7396,1131.5720222030466
Five largest cities,2019,Driver/Passenger,653604,Fatal crashes,30,4.589935190115116
Five largest cities,2020,Driver/Passenger,653604,Total crashes,24050,3679.5980440756175
Five largest cities,2020,Driver/Passenger,653604,Injury or fatal crashes,6202,948.892601636465
Five largest cities,2020,Driver/Passenger,653604,Fatal crashes,39,5.96691574714965
Five largest cities,2021,Driver/Passenger,653604,Total crashes,26988,4129.105697027559
Five largest cities,2021,Driver/Passenger,653604,Injury or fatal crashes,6800,1040.3853097594263
Five largest cities,2021,Driver/Passenger,653604,Fatal crashes,37,5.660920067808642
Five largest cities,2022,Driver/Passenger,653604,Total crashes,26421,4042.3559219343824
Five largest cities,2022,Driver/Passenger,653604,Injury or fatal crashes,6600,1009.7857418253255
Five largest cities,2022,Driver/Passenger,653604,Fatal crashes,48,7.343896304184185
Five largest cities,2023,Driver/Passenger,653604,Total crashes,25776,3943.672315346907
Five largest cities,2023,Driver/Passenger,653604,Injury or fatal crashes,6324,967.5583380762664
Five largest cities,2023,Driver/Passenger,653604,Fatal crashes,34,5.201926548797132
Five largest cities,2024,Driver/Passenger,653604,Total crashes,25990,3976.4138530363953
Five largest cities,2024,Driver/Passenger,653604,Injury or fatal crashes,6124,936.9587701421656
Five largest cities,2024,Driver/Passenger,653604,Fatal crashes,40,6.119913586820155
Five largest cities,2025,Driver/Passenger,653604,Total crashes,26442,4045.568876567463
Five largest cities,2025,Driver/Passenger,653604,Injury or fatal crashes,5843,893.9663771947539
Five largest cities,2025,Driver/Passenger,653604,Fatal crashes,28,4.2839395107741085
Five largest cities,2015,Pedestrian/Cyclist/Other,653604,Total crashes,819,125.30523069014265
Five largest cities,2015,Pedestrian/Cyclist/Other,653604,Injury or fatal crashes,722,110.46444024210378
Five largest cities,2015,Pedestrian/Cyclist/Other,653604,Fatal crashes,11,1.6829762363755425
Five largest cities,2016,Pedestrian/Cyclist/Other,653604,Total crashes,978,149.63188719775277
Five largest cities,2016,Pedestrian/Cyclist/Other,653604,Injury or fatal crashes,867,132.64912699432685
Five largest cities,2016,Pedestrian/Cyclist/Other,653604,Fatal crashes,18,2.7539611140690696
Five largest cities,2017,Pedestrian/Cyclist/Other,653604,Total crashes,965,147.6429152820362
Five largest cities,2017,Pedestrian/Cyclist/Other,653604,Injury or fatal crashes,839,128.36518748355275
Five largest cities,2017,Pedestrian/Cyclist/Other,653604,Fatal crashes,19,2.906958953739573
Five largest cities,2018,Pedestrian/Cyclist/Other,653604,Total crashes,838,128.21218964388223
Five largest cities,2018,Pedestrian/Cyclist/Other,653604,Injury or fatal crashes,751,114.9013775925484
Five largest cities,2018,Pedestrian/Cyclist/Other,653604,Fatal crashes,21,3.2129546330805807
Five largest cities,2019,Pedestrian/Cyclist/Other,653604,Total crashes,942,144.12396496961463
Five largest cities,2019,Pedestrian/Cyclist/Other,653604,Injury or fatal crashes,846,129.43617236124626
Five largest cities,2019,Pedestrian/Cyclist/Other,653604,Fatal crashes,19,2.906958953739573
Five largest cities,2020,Pedestrian/Cyclist/Other,653604,Total crashes,675,103.2735417775901
Five largest cities,2020,Pedestrian/Cyclist/Other,653604,Injury or fatal crashes,600,91.79870380230231
Five largest cities,2020,Pedestrian/Cyclist/Other,653604,Fatal crashes,26,3.9779438314331004
Five largest cities,2021,Pedestrian/Cyclist/Other,653604,Total crashes,631,96.54163683208793
Five largest cities,2021,Pedestrian/Cyclist/Other,653604,Injury or fatal crashes,572,87.51476429152821
Five largest cities,2021,Pedestrian/Cyclist/Other,653604,Fatal crashes,20,3.0599567934100773
Five largest cities,2022,Pedestrian/Cyclist/Other,653604,Total crashes,711,108.78146400572824
Five largest cities,2022,Pedestrian/Cyclist/Other,653604,Injury or fatal crashes,650,99.44859578582752
Five largest cities,2022,Pedestrian/Cyclist/Other,653604,Fatal crashes,26,3.9779438314331004
Five largest cities,2023,Pedestrian/Cyclist/Other,653604,Total crashes,692,105.87450505198868
Five largest cities,2023,Pedestrian/Cyclist/Other,653604,Injury or fatal crashes,610,93.32868219900735
Five largest cities,2023,Pedestrian/Cyclist/Other,653604,Fatal crashes,23,3.5189503124215884
