town,year,group,deaths
Durham,2023,Driver/Passenger,1
Durham,2024,Driver/Passenger,1
Durham,2025,Driver/Passenger,2
East Granby,2016,Driver/Passenger,1
East Granby,2017,Driver/Passenger,2
East Granby,2019,Driver/Passenger,2
East Granby,2023,Driver/Passenger,1
East Granby,2025,Driver/Passenger,1
East Haddam,2015,Driver/Passenger,2
East Haddam,2016,Driver/Passenger,3
East Haddam,2017,Driver/Passenger,1
East Haddam,2021,Driver/Passenger,1
East Haddam,2024,Driver/Passenger,1
East Haddam,2025,Driver/Passenger,3
East Hampton,2015,Driver/Passenger,1
East Hampton,2018,Driver/Passenger,5
East Hampton,2021,Driver/Passenger,1
East Hampton,2024,Driver/Passenger,1
East Hartford,2015,Driver/Passenger,5
East Hartford,2015,Pedestrian/Cyclist/Other,2
East Hartford,2016,Driver/Passenger,2
East Hartford,2016,Pedestrian/Cyclist/Other,2
East Hartford,2017,Driver/Passenger,1
East Hartford,2017,Pedestrian/Cyclist/Other,2
East Hartford,2018,Driver/Passenger,3
East Hartford,2019,Driver/Passenger,4
East Hartford,2020,Driver/Passenger,2
East Hartford,2020,Pedestrian/Cyclist/Other,1
East Hartford,2021,Driver/Passenger,8
East Hartford,2021,Pedestrian/Cyclist/Other,5
East Hartford,2022,Driver/Passenger,6
East Hartford,2022,Pedestrian/Cyclist/Other,1
East Hartford,2023,Driver/Passenger,2
East Hartford,2023,Pedestrian/Cyclist/Other,1
East Hartford,2024,Pedestrian/Cyclist/Other,3
East Hartford,2025,Driver/Passenger,1
East Hartford,2025,Pedestrian/Cyclist/Other,4
East Haven,2015,Pedestrian/Cyclist/Other,3
East Haven,2016,Driver/Passenger,3
East Haven,2016,Other/Unknown,1
East Haven,2016,Pedestrian/Cyclist/Other,2
East Haven,2017,Driver/Passenger,1
East Haven,2017,Pedestrian/Cyclist/Other,1
East Haven,2018,Pedestrian/Cyclist/Other,1
East Haven,2019,Pedestrian/Cyclist/Other,1
East Haven,2020,Driver/Passenger,2
East Haven,2020,Pedestrian/Cyclist/Other,1
East Haven,2021,Driver/Passenger,1
East Haven,2022,Driver/Passenger,1
East Haven,2022,Pedestrian/Cyclist/Other,1
East Haven,2023,Driver/Passenger,1
East Haven,2023,Pedestrian/Cyclist/Other,1
East Haven,2024,Driver/Passenger,1
East Haven,2024,Pedestrian/Cyclist/Other,1
East Haven,2025,Driver/Passenger,1
East Lyme,2015,Driver/Passenger,3
East Lyme,2016,Driver/Passenger,2
East Lyme,2018,Driver/Passenger,1
East Lyme,2019,Driver/Passenger,1
East Lyme,2020,Driver/Passenger,1
East Lyme,2021,Driver/Passenger,1
East Lyme,2022,Driver/Passenger,1
East Lyme,2024,Driver/Passenger,1
East Windsor,2015,Driver/Passenger,1
East Windsor,2017,Driver/Passenger,1
East Windsor,2019,Driver/Passenger,1
East Windsor,2020,Driver/Passenger,2
East Windsor,2020,Pedestrian/Cyclist/Other,1
