town,year,group,total_crashes,fatal_crashes,injury_or_fatal_crashes
Bethlehem,2019,Driver/Passenger,29,2,7
Bethlehem,2020,Driver/Passenger,34,0,12
Bethlehem,2021,Driver/Passenger,29,0,10
Bethlehem,2022,Driver/Passenger,35,0,8
Bethlehem,2023,Driver/Passenger,39,0,8
Bethlehem,2024,Driver/Passenger,32,0,12
Bethlehem,2025,Driver/Passenger,28,0,11
Bethlehem,2025,Pedestrian/Cyclist/Other,1,0,1
Bloomfield,2015,Driver/Passenger,669,3,181
Bloomfield,2016,Driver/Passenger,689,3,175
Bloomfield,2016,Pedestrian/Cyclist/Other,3,0,2
Bloomfield,2017,Driver/Passenger,696,1,190
Bloomfield,2017,Pedestrian/Cyclist/Other,13,1,13
Bloomfield,2018,Driver/Passenger,733,1,209
Bloomfield,2018,Pedestrian/Cyclist/Other,9,0,9
Bloomfield,2019,Driver/Passenger,800,2,200
Bloomfield,2019,Pedestrian/Cyclist/Other,6,0,6
Bloomfield,2020,Driver/Passenger,546,1,142
Bloomfield,2020,Pedestrian/Cyclist/Other,5,0,3
Bloomfield,2021,Driver/Passenger,638,1,166
Bloomfield,2021,Pedestrian/Cyclist/Other,8,0,8
Bloomfield,2022,Driver/Passenger,677,1,176
Bloomfield,2022,Pedestrian/Cyclist/Other,9,0,8
Bloomfield,2023,Driver/Passenger,674,2,196
Bloomfield,2023,Pedestrian/Cyclist/Other,9,1,9
Bloomfield,2024,Driver/Passenger,607,1,147
Bloomfield,2024,Pedestrian/Cyclist/Other,6,0,6
Bloomfield,2025,Driver/Passenger,639,0,155
Bloomfield,2025,Pedestrian/Cyclist/Other,10,1,7
Bolton,2015,Driver/Passenger,103,1,29
Bolton,2016,Driver/Passenger,116,1,32
Bolton,2017,Driver/Passenger,112,0,21
Bolton,2018,Driver/Passenger,111,3,29
Bolton,2019,Driver/Passenger,98,0,23
Bolton,2020,Driver/Passenger,52,1,18
Bolton,2020,Pedestrian/Cyclist/Other,2,0,2
Bolton,2021,Driver/Passenger,79,1,28
Bolton,2022,Driver/Passenger,70,0,21
Bolton,2022,Pedestrian/Cyclist/Other,1,0,1
Bolton,2023,Driver/Passenger,69,0,20
Bolton,2023,Pedestrian/Cyclist/Other,1,0,1
Bolton,2024,Driver/Passenger,94,1,25
Bolton,2025,Driver/Passenger,94,0,23
Bozrah,2015,Driver/Passenger,55,1,17
Bozrah,2016,Driver/Passenger,55,0,13
Bozrah,2016,Pedestrian/Cyclist/Other,1,0,1
Bozrah,2017,Driver/Passenger,71,0,19
Bozrah,2018,Driver/Passenger,50,0,10
Bozrah,2019,Driver/Passenger,53,0,14
Bozrah,2019,Pedestrian/Cyclist/Other,1,0,1
Bozrah,2020,Driver/Passenger,42,0,10
Bozrah,2020,Pedestrian/Cyclist/Other,1,0,1
Bozrah,2021,Driver/Passenger,49,0,18
Bozrah,2022,Driver/Passenger,47,0,13
Bozrah,2023,Driver/Passenger,57,0,16
Bozrah,2023,Pedestrian/Cyclist/Other,1,0,1
Bozrah,2024,Driver/Passenger,55,2,10
Bozrah,2024,Pedestrian/Cyclist/Other,1,0,1
Bozrah,2025,Driver/Passenger,45,0,8
Bozrah,2025,Pedestrian/Cyclist/Other,1,0,1
Branford,2015,Driver/Passenger,788,3,179
Branford,2015,Pedestrian/Cyclist/Other,13,0,11
Branford,2016,Driver/Passenger,747,2,171
Branford,2016,Pedestrian/Cyclist/Other,12,0,11
Branford,2017,Driver/Passenger,792,1,208
Branford,2017,Pedestrian/Cyclist/Other,14,0,11
Branford,2018,Driver/Passenger,791,1,194
Branford,2018,Pedestrian/Cyclist/Other,12,0,10
Branford,2019,Driver/Passenger,688,0,178
Branford,2019,Pedestrian/Cyclist/Other,12,0,9
Branford,2020,Driver/Passenger,564,1,136
Branford,2020,Pedestrian/Cyclist/Other,7,0,7
Branford,2021,Driver/Passenger,674,0,164
Branford,2021,Pedestrian/Cyclist/Other,9,0,9
Branford,2022,Driver/Passenger,639,2,148
Branford,2022,Pedestrian/Cyclist/Other,6,1,5
Branford,2023,Driver/Passenger,647,0,161
Branford,2023,Pedestrian/Cyclist/Other,9,0,8
Branford,2024,Driver/Passenger,688,3,168
Branford,2024,Pedestrian/Cyclist/Other,15,0,13
Branford,2025,Driver/Passenger,619,1,141
Branford,2025,Pedestrian/Cyclist/Other,6,1,5
Bridgeport,2015,Driver/Passenger,5364,1,1233
Bridgeport,2015,Pedestrian/Cyclist/Other,171,1,157
Bridgeport,2016,Driver/Passenger,6546,8,1678
Bridgeport,2016,Pedestrian/Cyclist/Other,231,6,192
Bridgeport,2017,Driver/Passenger,6394,3,1585
Bridgeport,2017,Pedestrian/Cyclist/Other,241,7,204
Bridgeport,2018,Driver/Passenger,6090,7,1630
Bridgeport,2018,Pedestrian/Cyclist/Other,186,4,168
Bridgeport,2019,Driver/Passenger,6139,0,1642
Bridgeport,2019,Pedestrian/Cyclist/Other,185,3,166
Bridgeport,2020,Driver/Passenger,5075,13,1359
Bridgeport,2020,Pedestrian/Cyclist/Other,120,3,111
Bridgeport,2021,Driver/Passenger,5858,4,1595
Bridgeport,2021,Pedestrian/Cyclist/Other,120,3,108
Bridgeport,2022,Driver/Passenger,5577,7,1563
Bridgeport,2022,Pedestrian/Cyclist/Other,154,4,143
Bridgeport,2023,Driver/Passenger,5328,4,1474
Bridgeport,2023,Pedestrian/Cyclist/Other,129,3,117
Bridgeport,2024,Driver/Passenger,5413,7,1471
Bridgeport,2024,Pedestrian/Cyclist/Other,176,5,155
Bridgeport,2025,Driver/Passenger,5374,7,1355
Bridgeport,2025,Pedestrian/Cyclist/Other,165,2,140
Bridgewater,2015,Driver/Passenger,22,0,8
Bridgewater,2016,Driver/Passenger,24,1,10
Bridgewater,2016,Pedestrian/Cyclist/Other,1,0,1
Bridgewater,2017,Driver/Passenger,26,0,9
Bridgewater,2018,Driver/Passenger,25,0,4
Bridgewater,2019,Driver/Passenger,33,0,11
Bridgewater,2020,Driver/Passenger,19,0,6
