town,year,crash_type,total_crashes,fatal_crashes,injury_or_fatal_crashes
Bristol,2010,Pedestrian/vehicle,21,1,20
Bristol,2010,Vehicle/vehicle,1737,5,427
Bristol,2011,Cyclist/vehicle,8,0,7
Bristol,2011,Pedestrian/vehicle,23,1,23
Bristol,2011,Vehicle/vehicle,1263,3,442
Bristol,2012,Cyclist/vehicle,5,0,4
Bristol,2012,Pedestrian/vehicle,17,0,17
Bristol,2012,Vehicle/vehicle,1584,3,353
Bristol,2013,Cyclist/vehicle,7,0,5
Bristol,2013,Pedestrian/vehicle,17,0,14
Bristol,2013,Vehicle/vehicle,1545,3,401
Bristol,2014,Cyclist/vehicle,14,0,12
Bristol,2014,Pedestrian/vehicle,10,1,10
Bristol,2014,Vehicle/vehicle,1609,0,348
Brookfield,2010,Cyclist/vehicle,1,0,1
Brookfield,2010,Pedestrian/vehicle,1,0,1
Brookfield,2010,Vehicle/vehicle,436,0,122
Brookfield,2011,Cyclist/vehicle,1,0,1
Brookfield,2011,Pedestrian/vehicle,2,0,2
Brookfield,2011,Vehicle/vehicle,316,0,92
Brookfield,2012,Cyclist/vehicle,1,0,0
Brookfield,2012,Pedestrian/vehicle,2,0,1
Brookfield,2012,Vehicle/vehicle,407,1,92
Brookfield,2013,Cyclist/vehicle,1,0,0
Brookfield,2013,Pedestrian/vehicle,4,1,3
Brookfield,2013,Vehicle/vehicle,443,2,101
Brookfield,2014,Cyclist/vehicle,1,0,1
Brookfield,2014,Pedestrian/vehicle,1,0,0
Brookfield,2014,Vehicle/vehicle,417,2,89
Brooklyn,2010,Cyclist/vehicle,1,0,1
Brooklyn,2010,Vehicle/vehicle,96,0,23
Brooklyn,2011,Pedestrian/vehicle,1,1,1
Brooklyn,2011,Vehicle/vehicle,97,0,29
Brooklyn,2012,Vehicle/vehicle,120,1,30
Brooklyn,2013,Cyclist/vehicle,1,0,1
Brooklyn,2013,Pedestrian/vehicle,4,0,4
Brooklyn,2013,Vehicle/vehicle,86,1,22
Brooklyn,2014,Pedestrian/vehicle,3,0,2
Brooklyn,2014,Vehicle/vehicle,108,1,34
Burlington,2010,Pedestrian/vehicle,1,0,1
Burlington,2010,Vehicle/vehicle,139,2,40
Burlington,2011,Pedestrian/vehicle,1,0,1
Burlington,2011,Vehicle/vehicle,99,0,30
