town,year,crash_type,total_crashes,fatal_crashes,injury_or_fatal_crashes
Bozrah,2024,Pedestrian/vehicle,1,0,1
Bozrah,2024,Vehicle/vehicle,55,2,10
Bozrah,2025,Pedestrian/vehicle,1,0,1
Bozrah,2025,Vehicle/vehicle,45,0,8
Branford,2015,Cyclist/vehicle,3,0,2
Branford,2015,Pedestrian/vehicle,10,0,9
Branford,2015,Vehicle/vehicle,788,3,179
Branford,2016,Cyclist/vehicle,3,0,2
Branford,2016,Pedestrian/vehicle,9,0,9
Branford,2016,Vehicle/vehicle,747,2,171
Branford,2017,Cyclist/vehicle,4,0,3
Branford,2017,Pedestrian/vehicle,10,0,8
Branford,2017,Vehicle/vehicle,792,1,208
Branford,2018,Cyclist/vehicle,2,0,1
Branford,2018,Pedestrian/vehicle,10,0,9
Branford,2018,Vehicle/vehicle,791,1,194
Branford,2019,Cyclist/vehicle,5,0,3
Branford,2019,Pedestrian/vehicle,7,0,6
Branford,2019,Vehicle/vehicle,688,0,178
Branford,2020,Cyclist/vehicle,2,0,2
Branford,2020,Pedestrian/vehicle,5,0,5
Branford,2020,Vehicle/vehicle,564,1,136
Branford,2021,Cyclist/vehicle,4,0,4
Branford,2021,Pedestrian/vehicle,5,0,5
Branford,2021,Vehicle/vehicle,674,0,164
Branford,2022,Pedestrian/vehicle,6,1,5
Branford,2022,Vehicle/vehicle,639,2,148
Branford,2023,Cyclist/vehicle,5,0,5
Branford,2023,Pedestrian/vehicle,4,0,3
Branford,2023,Vehicle/vehicle,647,0,161
Branford,2024,Cyclist/vehicle,4,0,3
Branford,2024,Pedestrian/vehicle,11,0,10
Branford,2024,Vehicle/vehicle,688,3,168
Branford,2025,Cyclist/vehicle,1,0,0
Branford,2025,Pedestrian/vehicle,5,1,5
Branford,2025,Vehicle/vehicle,619,1,141
Bridgeport,2015,Cyclist/vehicle,52,0,45
Bridgeport,2015,Pedestrian/vehicle,119,1,112
Bridgeport,2015,Vehicle/vehicle,5364,1,1233
Bridgeport,2016,Cyclist/vehicle,55,0,47
Bridgeport,2016,Pedestrian/vehicle,152,6,144
Bridgeport,2016,Vehicle/vehicle,6570,8,1679
Bridgeport,2017,Cyclist/vehicle,54,0,43
Bridgeport,2017,Pedestrian/vehicle,169,7,157
Bridgeport,2017,Vehicle/vehicle,6412,3,1589
Bridgeport,2018,Cyclist/vehicle,24,0,21
Bridgeport,2018,Pedestrian/vehicle,154,4,146
Bridgeport,2018,Vehicle/vehicle,6098,7,1631
Bridgeport,2019,Cyclist/vehicle,30,0,23
Bridgeport,2019,Pedestrian/vehicle,155,3,143
Bridgeport,2019,Vehicle/vehicle,6139,0,1642
Bridgeport,2020,Cyclist/vehicle,17,0,13
Bridgeport,2020,Pedestrian/vehicle,103,3,98
Bridgeport,2020,Vehicle/vehicle,5075,13,1359
